NAME;CPUS;SHARED_CPU;MEMORY_GB;DEPRECATED;ZONE
c4a-highmem-32;32;False;256.00;;
c4a-highmem-4-lssd;4;False;32.00;;
c4a-highmem-48-lssd;48;False;384.00;;
c4a-highmem-48;48;False;384.00;;
c4a-highmem-4;4;False;32.00;;
c4a-highmem-64-lssd;64;False;512.00;;
c4a-highmem-64;64;False;512.00;;
c4a-highmem-72-lssd;72;False;576.00;;
c4a-highmem-72;72;False;576.00;;
c4a-highmem-8-lssd;8;False;64.00;;
c4a-highmem-8;8;False;64.00;;
c4a-standard-16-lssd;16;False;64.00;;
c4a-standard-16;16;False;64.00;;
c4a-standard-1;1;False;4.00;;
c4a-standard-2;2;False;8.00;;
c4a-standard-32-lssd;32;False;128.00;;
c4a-standard-32;32;False;128.00;;
c4a-standard-4-lssd;4;False;16.00;;
c4a-standard-48-lssd;48;False;192.00;;
c4a-standard-48;48;False;192.00;;
c4a-standard-4;4;False;16.00;;
c4a-standard-64-lssd;64;False;256.00;;
c4a-standard-64;64;False;256.00;;
c4a-standard-72-lssd;72;False;288.00;;
c4a-standard-72;72;False;288.00;;
c4a-standard-8-lssd;8;False;32.00;;
c4a-standard-8;8;False;32.00;;
c4d-highcpu-16;16;False;30.00;;
c4d-highcpu-192;192;False;360.00;;
c4d-highcpu-2;2;False;3.00;;
c4d-highcpu-32;32;False;60.00;;
c4d-highcpu-384;384;False;720.00;;
c4d-highcpu-48;48;False;90.00;;
c4d-highcpu-4;4;False;7.00;;
c4d-highcpu-64;64;False;120.00;;
c4d-highcpu-8;8;False;15.00;;
c4d-highcpu-96;96;False;180.00;;
c4d-highmem-16-lssd;16;False;126.00;;
c4d-highmem-16;16;False;126.00;;
c4d-highmem-192-lssd;192;False;1512.00;;
c4d-highmem-192;192;False;1512.00;;
c4d-highmem-2;2;False;15.00;;
c4d-highmem-32-lssd;32;False;252.00;;
c4d-highmem-32;32;False;252.00;;
c4d-highmem-384-lssd;384;False;3024.00;;
c4d-highmem-384;384;False;3024.00;;
c4d-highmem-48-lssd;48;False;378.00;;
c4d-highmem-48;48;False;378.00;;
c4d-highmem-4;4;False;31.00;;
c4d-highmem-64-lssd;64;False;504.00;;
c4d-highmem-64;64;False;504.00;;
c4d-highmem-8-lssd;8;False;63.00;;
c4d-highmem-8;8;False;63.00;;
c4d-highmem-96-lssd;96;False;756.00;;
c4d-highmem-96;96;False;756.00;;
c4d-standard-16-lssd;16;False;62.00;;
c4d-standard-16;16;False;62.00;;
c4d-standard-192-lssd;192;False;744.00;;
c4d-standard-192;192;False;744.00;;
c4d-standard-2;2;False;7.00;;
c4d-standard-32-lssd;32;False;124.00;;
c4d-standard-32;32;False;124.00;;
c4d-standard-384-lssd;384;False;1488.00;;
c4d-standard-384;384;False;1488.00;;
c4d-standard-48-lssd;48;False;186.00;;
c4d-standard-48;48;False;186.00;;
c4d-standard-4;4;False;15.00;;
c4d-standard-64-lssd;64;False;248.00;;
c4d-standard-64;64;False;248.00;;
c4d-standard-8-lssd;8;False;31.00;;
c4d-standard-8;8;False;31.00;;
c4d-standard-96-lssd;96;False;372.00;;
c4d-standard-96;96;False;372.00;;
ct3-hightpu-4t;96;False;340.00;;
ct3p-hightpu-4t;48;False;340.00;;
ct4p-hightpu-4t;240;False;407.00;;
ct5l-hightpu-1t;24;False;48.00;;
ct5l-hightpu-4t;112;False;192.00;;
ct5l-hightpu-8t;224;False;384.00;;
ct5lp-hightpu-1t;24;False;48.00;;
ct5lp-hightpu-4t;112;False;192.00;;
ct5lp-hightpu-8t;224;False;384.00;;
ct5p-hightpu-4t;208;False;448.00;;
ct6e-standard-1t;44;False;176.00;;
ct6e-standard-4t;180;False;720.00;;
ct6e-standard-8t;360;False;1440.00;;
e2-highcpu-16;16;False;16.00;;
e2-highcpu-2;2;False;2.00;;
e2-highcpu-32;32;False;32.00;;
e2-highcpu-4;4;False;4.00;;
e2-highcpu-8;8;False;8.00;;
e2-highmem-16;16;False;128.00;;
e2-highmem-2;2;False;16.00;;
e2-highmem-4;4;False;32.00;;
e2-highmem-8;8;False;64.00;;
e2-medium;2;True;4.00;;
e2-micro;2;True;1.00;;
e2-small;2;True;2.00;;
e2-standard-16;16;False;64.00;;
e2-standard-2;2;False;8.00;;
e2-standard-32;32;False;128.00;;
e2-standard-4;4;False;16.00;;
e2-standard-8;8;False;32.00;;
f1-micro;1;True;0.60;;
g1-small;1;True;1.70;;
g2-standard-12;12;False;48.00;;
g2-standard-16;16;False;64.00;;
g2-standard-24;24;False;96.00;;
g2-standard-32;32;False;128.00;;
g2-standard-48;48;False;192.00;;
g2-standard-4;4;False;16.00;;
g2-standard-8;8;False;32.00;;
g2-standard-96;96;False;384.00;;
h3-standard-88;88;False;352.00;;
m1-megamem-96;96;False;1433.60;;
m1-ultramem-160;160;False;3844.00;;
m1-ultramem-40;40;False;961.00;;
m1-ultramem-80;80;False;1922.00;;
m2-hypermem-416;416;False;8832.00;;
m2-megamem-416;416;False;5888.00;;
m2-ultramem-208;208;False;5888.00;;
