NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
rhel-7-7-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 7.7, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-7-7-sap-ha;X86_64;2023-08-09T17:05:18.930-07:00;;READY
rhel-7-9-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA, 7.9, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-7-9-sap-ha;X86_64;2023-08-09T17:05:19.029-07:00;;READY
rhel-8-1-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 8.1, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-8-1-sap-ha;X86_64;2023-08-09T17:05:19.141-07:00;;READY
rhel-8-2-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 8.2, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-8-2-sap-ha;X86_64;2023-08-09T17:05:18.914-07:00;;READY
rhel-8-4-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 8.4, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-8-4-sap-ha;X86_64;2023-08-09T17:05:18.863-07:00;;READY
rhel-8-6-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 8.6, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-8-6-sap-ha;X86_64;2023-08-09T17:05:18.661-07:00;;READY
rhel-8-8-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 8.8, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-8-8-sap-ha;X86_64;2023-08-09T17:05:18.845-07:00;;READY
rhel-9-0-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 9.0, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-9-0-sap-ha;X86_64;2023-08-09T17:05:19.182-07:00;;READY
rhel-9-2-sap-v20230809;Red Hat, Red Hat Enterprise Linux for SAP with HA and Update Services, 9.2, x86_64 built on 20230809;20;rhel-sap-cloud;rhel-9-2-sap-ha;X86_64;2023-08-09T17:05:18.683-07:00;;READY
rocky-linux-8-optimized-gcp-arm64-v20230809;Rocky Linux, Rocky Linux, 8 optimized for GCP, aarch64 built on 20230809;20;rocky-linux-cloud;rocky-linux-8-optimized-gcp-arm64;ARM64;2023-08-09T17:05:18.010-07:00;;READY
rocky-linux-8-optimized-gcp-v20230809;Rocky Linux, Rocky Linux, 8 optimized for GCP, x86_64 built on 20230809;20;rocky-linux-cloud;rocky-linux-8-optimized-gcp;X86_64;2023-08-09T17:05:18.330-07:00;;READY
rocky-linux-8-v20230809;Rocky Linux, Rocky Linux, 8, x86_64 built on 20230809;20;rocky-linux-cloud;rocky-linux-8;X86_64;2023-08-09T17:05:18.271-07:00;;READY
rocky-linux-9-arm64-v20230809;Rocky Linux, Rocky Linux, 9, aarch64 built on 20230809;20;rocky-linux-cloud;rocky-linux-9-arm64;ARM64;2023-08-09T17:05:18.262-07:00;;READY
rocky-linux-9-optimized-gcp-arm64-v20230809;Rocky Linux, Rocky Linux, 9 optimized for GCP, aarch64 built on 20230809;20;rocky-linux-cloud;rocky-linux-9-optimized-gcp-arm64;ARM64;2023-08-09T17:05:18.259-07:00;;READY
rocky-linux-9-optimized-gcp-v20230809;Rocky Linux, Rocky Linux, 9 optimized for GCP, x86_64 built on 20230809;20;rocky-linux-cloud;rocky-linux-9-optimized-gcp;X86_64;2023-08-09T17:05:18.307-07:00;;READY
rocky-linux-9-v20230809;Rocky Linux, Rocky Linux, 9, x86_64 built on 20230809;20;rocky-linux-cloud;rocky-linux-9;X86_64;2023-08-09T17:05:18.788-07:00;;READY
sles-12-sp5-v20230807-x86-64;SUSE, SUSE Linux Enterprise Server 12 SP5, x86_64, built on 20230807;10;suse-cloud;sles-12;X86_64;2023-08-06T19:11:55.987-07:00;;READY
sles-15-sp5-v20230620-arm64;SUSE, SUSE Linux Enterprise Server 15 SP5, arm64, built on 20230620, supports Shielded VM features;10;suse-cloud;sles-15-arm64;ARM64;2023-06-20T05:46:39.979-07:00;;READY
sles-15-sp5-v20230620-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP5, x86_64, built on 20230620, supports Shielded VM features;10;suse-cloud;sles-15;X86_64;2023-06-20T06:17:23.093-07:00;;READY
sles-12-sp5-sap-v20230718-x86-64;SUSE, SUSE Linux Enterprise Server 12 SP5 for SAP, x86_64, built on 20230718, supports Shielded VM features;10;suse-sap-cloud;sles-12-sp5-sap;X86_64;2023-07-17T19:17:57.898-07:00;;READY
