NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
freebsd-11-4-stable-amd64-v20201217;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2020-12-16T22:03:20.589-08:00;;READY
freebsd-11-4-stable-amd64-v20201224;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2020-12-23T22:05:11.111-08:00;;READY
freebsd-11-4-stable-amd64-v20201231;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2020-12-30T21:51:14.399-08:00;;READY
freebsd-11-4-stable-amd64-v20210107;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-01-06T21:52:45.605-08:00;;READY
freebsd-11-4-stable-amd64-v20210114;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-01-13T22:00:35.825-08:00;;READY
freebsd-11-4-stable-amd64-v20210121;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-01-20T23:14:45.508-08:00;;READY
freebsd-11-4-stable-amd64-v20210128;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-01-27T22:39:35.418-08:00;;READY
freebsd-11-4-stable-amd64-v20210204;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-02-03T22:03:35.826-08:00;;READY
freebsd-11-4-stable-amd64-v20210211;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-02-10T21:53:27.324-08:00;;READY
freebsd-11-4-stable-amd64-v20210218;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-02-17T22:05:08.405-08:00;;READY
freebsd-11-4-stable-amd64-v20210225;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-02-24T21:59:10.405-08:00;;READY
freebsd-11-4-stable-amd64-v20210304;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-03-04T09:02:33.919-08:00;;READY
freebsd-11-4-stable-amd64-v20210311;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-03-10T21:57:17.048-08:00;;READY
freebsd-11-4-stable-amd64-v20210318;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-03-17T22:59:36.600-07:00;;READY
freebsd-11-4-stable-amd64-v20210401;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-04-01T00:58:01.558-07:00;;READY
freebsd-11-4-stable-amd64-v20210408;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-04-07T23:03:37.191-07:00;;READY
freebsd-11-4-stable-amd64-v20210415;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-04-15T00:48:56.912-07:00;;READY
freebsd-11-4-stable-amd64-v20210422;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-04-21T23:17:43.219-07:00;;READY
freebsd-11-4-stable-amd64-v20210429;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-04-28T23:05:13.554-07:00;;READY
freebsd-11-4-stable-amd64-v20210506;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-05-06T01:08:07.103-07:00;;READY
freebsd-11-4-stable-amd64-v20210513;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-05-12T23:05:42.791-07:00;;READY
freebsd-11-4-stable-amd64-v20210520;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-05-19T23:13:13.771-07:00;;READY
freebsd-11-4-stable-amd64-v20210527;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-05-27T00:19:06.258-07:00;;READY
freebsd-11-4-stable-amd64-v20210603;;22;freebsd-org-cloud-dev;freebsd-11-4-snap;;2021-06-02T23:19:16.889-07:00;;READY
freebsd-12-0-release-amd64;;29;freebsd-org-cloud-dev;freebsd-12-0;;2018-12-07T00:46:04.827-08:00;;READY
freebsd-12-1-release-amd64;;22;freebsd-org-cloud-dev;freebsd-12-1;;2019-11-11T11:08:11.672-08:00;;READY
freebsd-12-1-stable-amd64-v20191212;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2019-12-12T01:21:00.765-08:00;;READY
freebsd-12-1-stable-amd64-v20191219;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2019-12-19T01:31:57.435-08:00;;READY
freebsd-12-1-stable-amd64-v20191226;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2019-12-26T01:19:41.361-08:00;;READY
freebsd-12-1-stable-amd64-v20200102;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-01-02T01:19:41.057-08:00;;READY
freebsd-12-1-stable-amd64-v20200116;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-01-16T01:44:34.911-08:00;;READY
freebsd-12-1-stable-amd64-v20200123;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-01-23T01:28:09.840-08:00;;READY
freebsd-12-1-stable-amd64-v20200130;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-01-30T01:51:29.554-08:00;;READY
freebsd-12-1-stable-amd64-v20200206;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-02-06T01:42:14.973-08:00;;READY
freebsd-12-1-stable-amd64-v20200213;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-02-13T01:46:34.206-08:00;;READY
freebsd-12-1-stable-amd64-v20200220;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-02-20T01:49:48.551-08:00;;READY
freebsd-12-1-stable-amd64-v20200227;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-02-27T01:24:00.423-08:00;;READY
freebsd-12-1-stable-amd64-v20200312;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-03-12T02:27:04.157-07:00;;READY
freebsd-12-1-stable-amd64-v20200319;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-03-19T02:24:18.941-07:00;;READY
freebsd-12-1-stable-amd64-v20200326;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-03-26T02:51:01.233-07:00;;READY
freebsd-12-1-stable-amd64-v20200402;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-04-02T04:22:27.288-07:00;;READY
freebsd-12-1-stable-amd64-v20200409;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-04-09T02:29:09.045-07:00;;READY
freebsd-12-1-stable-amd64-v20200416;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-04-16T02:26:51.208-07:00;;READY
freebsd-12-1-stable-amd64-v20200423;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-04-23T02:43:38.015-07:00;;READY
freebsd-12-1-stable-amd64-v20200430;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-04-30T02:08:39.622-07:00;;READY
freebsd-12-1-stable-amd64-v20200507;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-05-07T01:45:35.561-07:00;;READY
freebsd-12-1-stable-amd64-v20200514;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-05-14T02:10:36.135-07:00;;READY
freebsd-12-1-stable-amd64-v20200521;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-05-21T02:43:56.643-07:00;;READY
freebsd-12-1-stable-amd64-v20200528;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-05-28T01:57:57.918-07:00;;READY
freebsd-12-1-stable-amd64-v20200604;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-06-04T02:40:09.447-07:00;;READY
freebsd-12-1-stable-amd64-v20200611;;22;freebsd-org-cloud-dev;freebsd-12-1-snap;;2020-06-11T01:42:01.858-07:00;;READY
freebsd-12-2-beta1-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-09-11T04:15:26.625-07:00;;READY
freebsd-12-2-beta2-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-09-18T04:41:58.035-07:00;;READY
freebsd-12-2-beta3-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-09-25T05:27:30.014-07:00;;READY
freebsd-12-2-prerelease-amd64-v20200910;;22;freebsd-org-cloud-dev;freebsd-12-2-snap;;2020-09-10T02:17:46.394-07:00;;READY
freebsd-12-2-rc1-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-10-02T06:20:46.602-07:00;;READY
freebsd-12-2-rc2-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-10-09T04:19:31.514-07:00;;READY
freebsd-12-2-rc3-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-10-16T07:44:35.215-07:00;;READY
freebsd-12-2-release-amd64;;22;freebsd-org-cloud-dev;freebsd-12-2;;2020-10-23T03:40:06.513-07:00;;READY
freebsd-12-2-stable-amd64-v20201126;;22;freebsd-org-cloud-dev;freebsd-12-2-snap;;2020-11-26T01:47:37.469-08:00;;READY
freebsd-12-2-stable-amd64-v20201203;;22;freebsd-org-cloud-dev;freebsd-12-2-snap;;2020-12-03T01:23:41.241-08:00;;READY
freebsd-12-2-stable-amd64-v20201210;;22;freebsd-org-cloud-dev;freebsd-12-2-snap;;2020-12-10T07:16:30.078-08:00;;READY
freebsd-12-2-stable-amd64-v20201217;;22;freebsd-org-cloud-dev;freebsd-12-2-snap;;2020-12-17T00:05:57.938-08:00;;READY
